BOTTLE,20144704JOAExport,,,,,,,,,,,,,,,,,,,,,,,
# Exported from JOA (5.2.1 December 4, 2013) on 2014/11/04 12:46:50,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDTMP_FLAG_W,SALNITY,SALNITY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
,,,,,,,,,,,,DBAR,C,,PSS,,UM/KG,,UM/KG,,UM/KG,,UM/KG,
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,75,-1.482,0,34.226,0,306.918,9,55.796,9,29.421,9,2.101,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,100,-1.073,0,34.327,0,281.217,9,60.771,9,30.438,9,2.148,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,125,-0.618,0,34.413,0,261.808,9,66.739,9,30.921,9,2.229,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,150,-0.182,0,34.458,0,248.193,9,69.709,9,31.232,9,2.261,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,200,0.166,0,34.51,0,238.631,9,74.556,9,31.417,9,2.21,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,250,0.468,0,34.545,0,237.429,9,72.861,9,31.505,9,2.192,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,300,0.661,0,34.576,0,231.416,9,76.347,9,31.425,9,2.185,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,400,0.86,0,34.619,0,225.497,9,78.013,9,31.094,9,2.143,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,500,0.755,0,34.65,0,228.527,9,78.017,9,31.049,9,2.126,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,600,1.275,0,34.706,0,205.76,9,88.997,9,30.958,9,2.158,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,700,1.299,0,34.716,0,204.177,9,92.322,9,30.837,9,2.139,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,800,1.226,0,34.717,0,203.546,9,94.18,9,30.935,9,2.14,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,900,1.021,0,34.711,0,211.552,9,98.636,9,30.8,9,2.19,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,1000,0.928,0,34.706,0,210.83,9,100.868,9,30.89,9,2.187,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,1100,0.808,0,34.701,0,213.063,9,103.931,9,30.914,9,2.201,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,1200,0.776,0,34.711,0,212.574,9,106.21,9,31.223,9,2.209,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,1300,0.667,0,34.704,0,214.446,9,105.928,9,31.104,9,2.214,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,1400,0.636,0,34.706,0,215.701,9,110.063,9,31.403,9,2.225,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,1500,0.498,0,34.697,0,213.311,9,110.043,9,31.496,9,2.198,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,1750,0.404,0,34.686,0,215.654,9,114.687,9,31.83,9,2.233,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,2000,0.3,0,34.683,0,220.732,9,116.967,9,31.991,9,2.256,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,2500,0.089,0,34.678,0,226.487,9,119.153,9,32.081,9,2.248,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,3000,-0.102,0,34.672,0,233.538,9,118.921,9,31.916,9,2.247,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,3500,-0.179,0,34.671,0,239.063,9,117.696,9,31.657,9,2.204,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,0,-0.881,0,33.742,0,349.796,9,31.747,9,24.39,9,1.666,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,10,-0.994,0,33.788,0,349.386,9,37.059,9,25.445,9,1.769,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,20,-1.028,0,33.831,0,348.217,9,39.454,9,25.824,9,1.811,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,30,-1.128,0,33.903,0,344.148,9,41.359,9,26.349,9,1.846,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,50,-1.4,0,34.039,0,330.307,9,46.969,9,27.847,9,1.967,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,75,-1.376,0,34.204,0,304.329,9,54.655,9,29.477,9,2.106,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,100,-0.8,0,34.334,0,269.958,9,61.021,9,30.802,9,2.173,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,125,-0.045,0,34.45,0,240.265,9,69.27,9,31.658,9,2.28,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,150,0.456,0,34.505,0,224.973,9,72.874,9,32.082,9,2.319,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,200,0.83,0,34.557,0,214.539,9,77.91,9,32.331,9,2.274,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,250,1.033,0,34.588,0,214.706,9,76.484,9,32.239,9,2.258,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,300,1.19,0,34.614,0,211.206,9,79.251,9,32.013,9,2.232,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,400,1.288,0,34.653,0,209.536,9,80.802,9,31.554,9,2.182,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,500,1.246,0,34.68,0,211.943,9,80.687,9,31.232,9,2.143,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,600,1.504,0,34.716,0,202.433,9,88.379,9,30.942,9,2.168,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,700,1.487,0,34.728,0,200.814,9,89.654,9,30.703,9,2.126,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,800,1.4,0,34.728,0,200.983,9,91.235,9,30.66,9,2.121,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,900,1.217,0,34.721,0,209.598,9,94.627,9,30.459,9,2.164,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,1000,1.079,0,34.717,0,209.905,9,96.761,9,30.45,9,2.158,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,1100,0.98,0,34.713,0,211.738,9,99.757,9,30.518,9,2.173,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,1200,0.937,0,34.717,0,210.72,9,102.101,9,30.874,9,2.175,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,1300,0.839,0,34.715,0,213.73,9,103.319,9,30.734,9,2.187,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,1400,0.79,0,34.716,0,213.594,9,106.856,9,31.157,9,2.194,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,1500,0.649,0,34.704,0,211.548,9,107.324,9,31.263,9,2.17,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,1750,0.563,0,34.694,0,213.191,9,112.094,9,31.648,9,2.202,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,2000,0.451,0,34.69,0,217.009,9,115.685,9,31.919,9,2.238,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,2500,0.237,0,34.674,0,222.297,9,122.456,9,32.48,9,2.247,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,3000,-0.009,0,34.668,0,231.119,9,121.274,9,32.336,9,2.229,9
           NA,I8 WOA05 LINE,26,1,-999,-999,-99,-2079,,-63.5,82.5,3040,3500,-0.172,0,34.669,0,242.144,9,115.939,9,31.791,9,2.213,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,0,-0.704,0,33.793,0,349.449,9,30.947,9,24.719,9,1.665,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,10,-0.827,0,33.837,0,348.374,9,36.773,9,25.731,9,1.756,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,20,-0.862,0,33.864,0,347.593,9,37.83,9,26.078,9,1.792,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,30,-0.951,0,33.91,0,344.823,9,39.445,9,26.497,9,1.809,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,50,-1.22,0,34.02,0,332.948,9,44.984,9,27.725,9,1.944,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,75,-1.282,0,34.176,0,303.611,9,53.413,9,29.474,9,2.095,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,100,-0.663,0,34.328,0,262.703,9,61.184,9,31.116,9,2.173,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,125,0.378,0,34.468,0,224.935,9,71.122,9,32.282,9,2.311,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,150,0.947,0,34.536,0,207.652,9,75.38,9,32.909,9,2.353,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,200,1.343,0,34.59,0,196.463,9,80.363,9,33.212,9,2.322,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,250,1.492,0,34.617,0,198.055,9,79.264,9,32.953,9,2.311,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,300,1.584,0,34.638,0,196.081,9,81.198,9,32.612,9,2.266,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,400,1.616,0,34.678,0,197.587,9,82.693,9,31.998,9,2.212,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,500,1.6,0,34.702,0,199.621,9,82.538,9,31.474,9,2.154,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,600,1.672,0,34.725,0,199.731,9,87.595,9,31.076,9,2.176,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,700,1.638,0,34.737,0,198.004,9,88.013,9,30.745,9,2.123,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,800,1.548,0,34.738,0,198.889,9,89.17,9,30.638,9,2.114,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,900,1.377,0,34.731,0,207.638,9,91.868,9,30.276,9,2.147,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,1000,1.206,0,34.727,0,208.727,9,93.779,9,30.165,9,2.138,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,1100,1.123,0,34.725,0,210.338,9,96.7,9,30.278,9,2.155,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,1200,1.058,0,34.725,0,208.943,9,99.052,9,30.646,9,2.15,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,1300,0.982,0,34.725,0,212.661,9,101.163,9,30.504,9,2.171,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,1400,0.919,0,34.726,0,211.617,9,104.392,9,31.015,9,2.172,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,1500,0.742,0,34.711,0,210.47,9,105.738,9,31.114,9,2.155,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,1750,0.655,0,34.701,0,212.256,9,111.822,9,31.591,9,2.188,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,2000,0.531,0,34.695,0,215.523,9,115.772,9,31.903,9,2.227,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,2500,0.339,0,34.676,0,218.691,9,122.242,9,32.255,9,2.258,9
           NA,I8 WOA05 LINE,27,1,-999,-999,-99,-2079,,-62.5,81.5,1797,3000,0.057,0,34.671,0,227.956,9,123.13,9,32.251,9,2.255,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,0,-0.536,0,33.844,0,348.285,9,30.115,9,24.728,9,1.649,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,10,-0.655,0,33.876,0,346.627,9,36.718,9,25.727,9,1.738,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,20,-0.691,0,33.894,0,346.078,9,36.652,9,26.151,9,1.763,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,30,-0.766,0,33.924,0,344.178,9,38.147,9,26.485,9,1.773,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,50,-1.003,0,34.011,0,334.209,9,43.616,9,27.551,9,1.911,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,75,-1.139,0,34.153,0,303.683,9,52.597,9,29.501,9,2.071,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,100,-0.574,0,34.318,0,258.868,9,61.415,9,31.341,9,2.161,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,125,0.542,0,34.471,0,217.892,9,71.896,9,32.659,9,2.309,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,150,1.209,0,34.553,0,198.609,9,76.589,9,33.393,9,2.354,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,200,1.596,0,34.607,0,187.555,9,81.592,9,33.7,9,2.342,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,250,1.71,0,34.634,0,189.047,9,80.787,9,33.322,9,2.331,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,300,1.775,0,34.652,0,187.99,9,82.112,9,32.939,9,2.28,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,400,1.776,0,34.696,0,191.142,9,83.703,9,32.25,9,2.221,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,500,1.756,0,34.716,0,194.076,9,83.564,9,31.655,9,2.157,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,600,1.761,0,34.732,0,198.654,9,87.245,9,31.194,9,2.177,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,700,1.718,0,34.744,0,196.366,9,87.734,9,30.829,9,2.126,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,800,1.627,0,34.745,0,197.468,9,88.954,9,30.711,9,2.113,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,900,1.443,0,34.737,0,206.157,9,91.152,9,30.333,9,2.136,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,1000,1.269,0,34.732,0,207.706,9,92.84,9,30.169,9,2.126,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,1100,1.199,0,34.731,0,209.326,9,95.695,9,30.303,9,2.146,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,1200,1.123,0,34.73,0,207.948,9,98.27,9,30.631,9,2.14,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,1300,1.053,0,34.73,0,211.623,9,100.788,9,30.541,9,2.161,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,1400,0.984,0,34.731,0,210.492,9,104.18,9,31.021,9,2.165,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,1500,0.739,0,34.714,0,210.361,9,106.749,9,31.148,9,2.157,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,1750,0.63,0,34.702,0,212.964,9,114.684,9,31.732,9,2.194,9
           NA,I8 WOA05 LINE,28,1,-999,-999,-99,-2079,,-61.5,81.5,2110,2000,0.511,0,34.696,0,216.366,9,117.786,9,31.886,9,2.221,9
           NA,I8 WOA05 LINE,29,1,-999,-999,-99,-2079,,-60.5,81.5,1627,0,-0.386,0,33.886,0,345.893,9,29.225,9,24.818,9,1.63,9
           NA,I8 WOA05 LINE,29,1,-999,-999,-99,-2079,,-60.5,81.5,1627,10,-0.477,0,33.907,0,343.991,9,36.292,9,25.7,9,1.72,9
           NA,I8 WOA05 LINE,29,1,-999,-999,-99,-2079,,-60.5,81.5,1627,20,-0.505,0,33.918,0,343.805,9,35.402,9,26.222,9,1.735,9
           NA,I8 WOA05 LINE,29,1,-999,-999,-99,-2079,,-60.5,81.5,1627,30,-0.566,0,33.939,0,342.577,9,36.946,9,26.471,9,1.739,9
           NA,I8 WOA05 LINE,29,1,-999,-999,-99,-2079,,-60.5,81.5,1627,50,-0.767,0,34.009,0,334.561,9,42.177,9,27.337,9,1.869,9
           NA,I8 WOA05 LINE,29,1,-999,-999,-99,-2079,,-60.5,81.5,1627,75,-0.96,0,34.137,0,304.663,9,51.64,9,29.427,9,2.031,9
