BOTTLE,20191224JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20140514CCHSIOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,
  316N145_9,       I07C,680,1,15,15,2,19950704,1729,-29.494,54.4975,4872,1920.3,2.5305,34.6784,2,34.6773,2,175,2,175.4,2,85.81,2,32.28,2,0,2,2.25,2,-999,9,-999,9,2254.8,2,2356.3,6
  316N145_9,       I07C,680,1,14,14,2,19950704,1729,-29.494,54.4975,4872,2122,2.3933,34.7119,2,34.7104,2,179.1,2,178.3,2,89.76,2,31.8,2,0,2,2.23,2,0.004,2,0,2,2257.1,2,-999,5
  316N145_9,       I07C,680,1,13,13,2,19950704,1729,-29.494,54.4975,4872,2325.8,2.2831,34.7328,2,34.732,2,181.6,2,181,2,93.15,2,31.52,2,0,2,2.19,2,-999,9,-999,9,2257.3,2,2358.6,2
  316N145_9,       I07C,680,1,12,12,2,19950704,1729,-29.494,54.4975,4872,2528.4,2.1617,34.7445,2,34.7436,2,181.7,2,181.6,2,98.26,2,31.57,2,0,2,2.19,2,0,2,0,2,2262.7,2,-999,5
  316N145_9,       I07C,680,1,11,11,2,19950704,1729,-29.494,54.4975,4872,2731.4,2.0435,34.749,2,34.7499,2,185.7,2,183.9,2,101.29,2,31.47,2,0,2,2.2,2,-999,9,-999,9,2263.5,2,2373.2,2
  316N145_9,       I07C,680,1,10,10,2,19950704,1729,-29.494,54.4975,4872,2935.8,1.8678,34.7446,2,34.7444,2,185.7,2,184.8,2,107.03,2,31.76,2,0,2,2.22,2,0,2,0,2,2268.1,2,-999,5
  316N145_9,       I07C,680,1,9,9,2,19950704,1729,-29.494,54.4975,4872,3138.5,1.6573,34.7357,2,34.7353,2,188.6,2,188.8,2,111.25,2,31.76,2,0,2,2.24,2,-999,9,-999,9,-999,5,2368.8,2
  316N145_9,       I07C,680,1,8,8,2,19950704,1729,-29.494,54.4975,4872,3340.8,1.4588,34.729,2,34.7286,2,195.4,2,195.5,2,113.15,2,31.71,2,0,2,2.22,2,0.005,2,0,2,2263.9,2,-999,5
  316N145_9,       I07C,680,1,7,7,2,19950704,1729,-29.494,54.4975,4872,3545.4,1.2851,34.7192,2,34.7184,2,193,2,193.2,2,123.09,2,32.53,2,0,2,2.28,2,-999,9,-999,9,2272.2,2,2380.5,2
  316N145_9,       I07C,680,1,6,6,2,19950704,1729,-29.494,54.4975,4872,3749.7,1.1818,34.7164,2,34.7161,2,198,2,198.7,2,122.46,2,32.29,2,0,2,2.26,2,0.006,2,0,2,2267.9,2,-999,5
