EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,,,UMOL/KG,,UMOL/KG,
    316N145_9,     I04,609,1,3,3,2,19950619,1644,-24.6672,35.4873,297,199.9,15.8924,35.366,2,35.3642,2,164.3,2,164.1,2,9.78,2,10.83,2,0,2,0.88,2,-999,9,-999,9,-999,9,2106.5,2,2326.8,2
    316N145_9,     I04,609,1,2,2,2,19950619,1644,-24.6672,35.4873,297,246.9,14.4944,35.296,2,35.2924,2,173.4,2,173.2,2,9.78,2,11.69,2,0.01,2,0.94,2,-999,9,-999,9,-999,9,2117.7,2,2322.1,6
    316N145_9,     I04,609,1,1,1,2,19950619,1644,-24.6672,35.4873,297,292.3,13.0097,35.1755,2,35.184,2,185.2,2,184.6,2,9.78,2,12.75,2,0.01,2,1,2,-999,9,-999,9,-999,9,2118.1,2,2319.9,2
    316N145_9,     I04,608,1,13,13,2,19950619,1545,-24.6697,35.5523,591,3.8,23.7334,35.4954,2,35.4953,2,207.6,2,208.6,2,2.76,2,0.13,2,0.02,2,0.15,2,-999,9,-999,9,-999,9,1984.1,6,2323.2,2
    316N145_9,     I04,608,1,12,12,2,19950619,1545,-24.6697,35.5523,591,23.8,23.7374,35.4965,2,35.4955,2,-999,3,209,2,2.75,2,0.13,2,0.02,2,0.14,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,608,1,11,11,2,19950619,1545,-24.6697,35.5523,591,43.5,23.7441,35.4986,2,35.4971,2,-999,3,208.8,2,2.73,2,0.13,2,0.02,2,0.14,2,-999,9,-999,9,-999,9,1984,2,2330.4,2
    316N145_9,     I04,608,1,10,10,2,19950619,1545,-24.6697,35.5523,591,64.6,23.7483,35.5033,2,35.5026,2,208.5,2,208.4,2,2.52,2,0.13,2,0.02,2,0.15,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,608,1,9,9,2,19950619,1545,-24.6697,35.5523,591,83,23.7453,35.5087,2,35.5077,2,208.1,2,208.2,2,2.51,2,0.18,2,0.02,2,0.15,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,608,1,8,8,2,19950619,1545,-24.6697,35.5523,591,103.8,22.5453,35.3883,2,35.3977,2,194.6,2,183.8,2,4.04,2,2.39,2,0.11,2,0.34,2,-999,9,-999,9,-999,9,2015.7,2,2318.5,2
    316N145_9,     I04,608,1,7,7,2,19950619,1545,-24.6697,35.5523,591,154,17.7999,35.4674,2,35.467,2,165.9,2,167.4,2,7.3,2,7.51,2,0.01,2,0.65,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,608,1,6,6,2,19950619,1545,-24.6697,35.5523,591,205.1,16.0443,35.4329,2,35.4313,2,177.6,2,175.4,2,8.06,2,8.73,2,0,2,0.74,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,608,1,5,5,2,19950619,1545,-24.6697,35.5523,591,254.4,14.7387,35.3297,2,35.3268,2,174.9,2,172.5,2,9.4,2,10.95,2,0,2,0.88,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,608,1,4,4,2,19950619,1545,-24.6697,35.5523,591,301.5,13.904,35.2721,2,35.2715,2,179.1,2,181.9,2,9,2,11.31,2,0,2,0.9,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,608,1,3,3,2,19950619,1545,-24.6697,35.5523,591,392.3,12.349,35.1142,2,35.1126,2,-999,3,-999,3,7.83,2,12.38,2,0,2,0.96,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,608,1,2,2,2,19950619,1545,-24.6697,35.5523,591,492.7,10.1997,34.8549,2,34.8517,2,186.2,2,187.1,2,13.8,2,18.59,2,0,2,1.34,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,608,1,1,1,2,19950619,1545,-24.6697,35.5523,591,586.7,9.2163,34.7744,2,34.7832,2,175.6,2,175.1,2,19.78,2,21.74,2,0,2,1.55,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,607,1,15,15,2,19950619,1400,-24.665,35.7208,919,2.2,23.786,35.4732,2,35.4732,2,209.2,2,210.5,2,2.97,2,0.04,2,0.01,2,0.14,2,-999,9,-999,9,-999,9,1981.9,6,2321.2,2
    316N145_9,     I04,607,1,14,14,2,19950619,1400,-24.665,35.7208,919,28.6,23.7927,35.4786,2,35.4776,2,209.7,2,209.5,2,2.95,2,0.05,2,0,2,0.14,2,-999,9,-999,9,-999,9,1982,2,-999,5
    316N145_9,     I04,607,1,13,13,2,19950619,1400,-24.665,35.7208,919,54.8,23.7984,35.478,2,35.4767,2,208.6,2,209.7,2,2.94,2,0.09,2,0,2,0.13,2,-999,9,-999,9,-999,9,1981.6,2,2324.9,2
    316N145_9,     I04,607,1,12,12,2,19950619,1400,-24.665,35.7208,919,80.9,23.6931,35.5031,2,35.5002,2,206.9,2,207.3,2,2.92,2,0.18,2,0.01,2,0.15,2,-999,9,-999,9,-999,9,1985.8,2,2323.6,6
    316N145_9,     I04,607,1,11,11,2,19950619,1400,-24.665,35.7208,919,103.1,20.6851,35.3797,2,35.3875,2,169.8,2,165.2,2,5.8,2,5.48,2,0.05,2,0.53,2,-999,9,-999,9,-999,9,-999,5,2318.5,2
    316N145_9,     I04,607,1,10,10,2,19950619,1400,-24.665,35.7208,919,155.3,17.7543,35.5107,2,35.5131,2,172.8,2,174.3,2,6.94,2,6.52,2,0,2,0.6,2,-999,9,-999,9,-999,9,2083.6,2,2333.2,2
    316N145_9,     I04,607,1,9,9,2,19950619,1400,-24.665,35.7208,919,205,16.2547,35.5101,2,35.5084,2,189.5,2,190.6,2,6.35,2,6.23,2,0,2,0.6,2,-999,9,-999,9,-999,9,2089.7,2,2330.6,2
    316N145_9,     I04,607,1,8,8,2,19950619,1400,-24.665,35.7208,919,256.1,14.5209,35.3929,2,35.3851,2,199.1,2,201.9,2,6.14,2,7.72,2,0,2,0.69,2,-999,9,-999,9,-999,9,2098.6,2,2324.2,2
    316N145_9,     I04,607,1,7,7,2,19950619,1400,-24.665,35.7208,919,305.4,13.4797,35.2891,2,35.2809,2,213,2,212.6,2,5.74,2,8.72,2,0,2,0.74,2,-999,9,-999,9,-999,9,2101.3,2,2319.3,2
    316N145_9,     I04,607,1,6,6,2,19950619,1400,-24.665,35.7208,919,404.5,11.9491,35.0691,2,35.0695,2,217.4,2,216.9,2,6.12,2,11.6,2,0,2,0.9,2,-999,9,-999,9,-999,9,2108.2,2,2313.9,2
    316N145_9,     I04,607,1,5,5,2,19950619,1400,-24.665,35.7208,919,505.5,10.3689,34.8554,2,34.8518,2,207.6,2,212.4,2,8.61,2,15.59,2,0,2,1.14,2,-999,9,-999,9,-999,9,2123.1,2,2305.5,2
    316N145_9,     I04,607,1,4,4,2,19950619,1400,-24.665,35.7208,919,605.4,9.2271,34.7561,2,34.7603,2,180.3,2,181.2,2,18.04,2,21.23,2,0,2,1.48,2,-999,9,-999,9,-999,9,2154.5,2,2304.7,2
    316N145_9,     I04,607,1,3,3,2,19950619,1400,-24.665,35.7208,919,706.3,8.0635,34.7049,2,34.7055,2,158.2,2,156.7,2,30.75,2,26.19,2,0,2,1.8,2,-999,9,-999,9,-999,9,2186.7,2,2312.9,2
    316N145_9,     I04,607,1,2,2,2,19950619,1400,-24.665,35.7208,919,806.7,6.6813,34.6189,2,34.6198,2,154.3,2,155.8,2,40,2,29.38,2,0,2,2.07,2,-999,9,-999,9,-999,9,2205.5,2,2315.6,6
    316N145_9,     I04,607,1,1,1,2,19950619,1400,-24.665,35.7208,919,925.2,6.4792,34.722,2,34.7229,2,121.5,2,121.5,2,56.39,2,32.37,2,0,2,2.34,2,-999,9,-999,9,-999,9,2240.1,6,2333.1,2
    316N145_9,     I04,606,1,18,18,2,19950619,1211,-24.6655,35.8885,1199,3.2,23.8475,35.4771,2,35.4768,2,-999,3,208.5,2,2.9,2,0.17,2,0.02,2,0.14,2,1.831,2,1.014,2,-999,9,1981.3,6,2325.6,2
    316N145_9,     I04,606,1,17,17,2,19950619,1211,-24.6655,35.8885,1199,29,23.849,35.4767,2,35.4762,2,-999,3,208,2,2.89,2,0.17,2,0.02,2,0.14,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,606,1,16,16,2,19950619,1211,-24.6655,35.8885,1199,54.9,23.7726,35.4688,2,35.4705,2,203.4,2,207,2,2.87,2,0.22,2,0.03,2,0.15,2,1.846,2,1.008,2,-999,9,1982.7,2,2318.2,2
    316N145_9,     I04,606,1,15,15,2,19950619,1211,-24.6655,35.8885,1199,78.6,22.0435,35.3622,2,35.3663,2,177.7,2,175,2,4.77,2,3.75,2,0.12,2,0.4,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,606,1,14,14,2,19950619,1211,-24.6655,35.8885,1199,103.2,19.7784,35.4479,2,35.4165,2,167.2,2,164.3,2,6.09,2,6.24,2,0.03,2,0.54,2,1.926,2,1.016,2,-999,9,2060,2,2322.1,2
    316N145_9,     I04,606,1,13,13,2,19950619,1211,-24.6655,35.8885,1199,154,17.2702,35.5147,2,35.5062,2,175.8,2,177,2,6.84,2,6.86,2,0,2,0.58,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,606,1,12,12,2,19950619,1211,-24.6655,35.8885,1199,204.8,15.3471,35.4423,2,35.4511,2,189.3,2,191.5,2,6.45,2,7.51,2,0,2,0.63,2,2.282,2,1.139,2,-999,9,-999,9,-999,9
    316N145_9,     I04,606,1,11,11,2,19950619,1211,-24.6655,35.8885,1199,253.3,14.1026,35.335,2,35.3387,2,198.2,2,199.3,2,6.44,2,8.9,2,0,2,0.71,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,606,1,10,10,2,19950619,1211,-24.6655,35.8885,1199,304.1,13.2303,35.2559,2,35.2643,2,209.1,2,213.5,2,5.47,2,9.1,2,0,2,0.71,2,2.505,2,1.239,2,-999,9,-999,9,-999,9
    316N145_9,     I04,606,1,9,9,2,19950619,1211,-24.6655,35.8885,1199,404.8,11.619,35.0191,2,35.0234,2,213,2,217,2,6.04,2,12.32,2,0,2,0.89,2,2.297,2,1.125,2,-999,9,-999,9,-999,9
    316N145_9,     I04,606,1,8,8,2,19950619,1211,-24.6655,35.8885,1199,504.6,10.3446,34.854,2,34.8579,2,205.6,2,206.1,2,9.3,2,16.23,2,0,2,1.12,2,1.782,2,0.865,2,-999,9,-999,9,-999,9
    316N145_9,     I04,606,1,7,7,2,19950619,1211,-24.6655,35.8885,1199,604.1,9.1147,34.7449,2,34.7444,2,181,2,182.2,2,17.78,2,21.45,2,0,2,1.45,2,1.106,2,0.539,2,-999,9,-999,9,-999,9
    316N145_9,     I04,606,1,6,6,2,19950619,1211,-24.6655,35.8885,1199,707,7.8242,34.6472,2,34.6487,2,176,2,174.4,2,25.51,2,25.09,2,0,2,1.75,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,606,1,5,5,2,19950619,1211,-24.6655,35.8885,1199,807,5.8674,34.4986,2,34.4998,2,182.4,2,181.7,2,34.99,2,28.86,2,0,2,1.96,2,0.533,2,0.256,2,-999,9,-999,9,-999,9
    316N145_9,     I04,606,1,4,4,2,19950619,1211,-24.6655,35.8885,1199,907.7,5.2767,34.555,2,34.5539,2,164.9,2,159.2,2,49.73,2,31.64,2,0,2,2.25,2,0.312,2,0.142,2,-999,9,-999,9,-999,9
    316N145_9,     I04,606,1,3,3,2,19950619,1211,-24.6655,35.8885,1199,1007,4.8122,34.6215,2,34.6202,2,147.1,2,142.8,2,63.16,2,33.48,2,0,2,2.41,2,0.181,2,0.074,2,-999,9,-999,9,-999,9
    316N145_9,     I04,606,1,2,2,2,19950619,1211,-24.6655,35.8885,1199,1107.9,4.1467,34.7024,2,34.7043,2,135.1,2,135.6,2,78.02,2,33.97,2,0,2,2.47,2,0.046,2,0.013,2,-999,9,-999,9,-999,9
